uid,namedLocation,date,eventID,plotID,individualID,growthForm,plantStatus,stemDiameter,measurementHeight,height
694a6acc-7c76-4247-bafa-11a813e1cd40,GUAN_016.basePlot.vst,2017-12-04,vst_GUAN_2017,GUAN_016,NEON.PLA.D04.GUAN.04288,single shrub,Live,3.7,130,4.2
96302580-9e3f-48cc-b2e4-3e5fd4b47cb7,GUAN_016.basePlot.vst,2017-12-04,vst_GUAN_2017,GUAN_016,NEON.PLA.D04.GUAN.04201,single bole tree,Live,13.1,130,5.6
11034a76-6d23-417f-a791-a7d45bd378a0,GUAN_016.basePlot.vst,2017-12-04,vst_GUAN_2017,GUAN_016,NEON.PLA.D04.GUAN.04235,NA,No longer qualifies,NA,NA,NA
8175604c-96a0-44eb-8ef8-3d205e8d3778,GUAN_016.basePlot.vst,2017-12-04,vst_GUAN_2017,GUAN_016,NEON.PLA.D04.GUAN.04237,NA,No longer qualifies,NA,NA,NA
29663970-da2d-48ce-9014-42fc97182ba0,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02072,single bole tree,Live,10.3,130,4.7
9154ba33-e026-4c54-9902-5cb3bed7df44,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02240,single shrub,Live,5.2,130,4.4
d7efd0a2-263e-464f-8eab-a97bdaef870f,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02089,single shrub,Live,2.8,130,3.1
2bb399ad-595c-4189-ac9a-514be50f3a20,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02080,NA,No longer qualifies,NA,NA,NA
68a27e77-aed5-444b-9be9-2f38e9857880,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02099,single shrub,Live,1.5,130,3.3
131de29d-66cc-45ab-b2bf-0c2960c64f7e,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02127,small tree,Live,1.7,130,1.7
1de5a7f1-0989-40fa-990a-c975a51077d4,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.01887,liana,Live,1.3,130,NA
24adcea7-e438-4a06-bc33-6668b3534018,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02099,single shrub,Live,1.7,140,3.3
e5048a8a-4b82-47b5-ae20-b2e999442c34,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02136,single shrub,"Live, physically damaged",2.2,130,3.1
171cdea8-45b3-4d2d-9e5a-798d25a50ce3,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02242,single shrub,Live,3,140,3.6
df3b21f8-2ef3-4f58-a796-e3e8c85adda6,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02071D,NA,No longer qualifies,NA,NA,NA
39d6f414-4cf4-4f85-a968-99770d21da2e,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02087,single shrub,Live,2.1,130,2.7
b4c2a446-a37c-4986-9bf0-1e197612cb03,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02242,single shrub,Live,4,140,3.6
83ded68b-be0b-49c9-a372-dec92d6c9bd1,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.01892,single shrub,Live,1.7,130,2.2
1d2907f8-b830-4c47-a259-5cf9a42884e7,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02240,single shrub,Live,3.9,130,4.4
5b1f0afa-8543-4b88-ab35-6feb1e2fae96,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02070B,NA,No longer qualifies,NA,NA,NA
200f09a6-f534-4a90-8fa1-4d0d2930c31d,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02242,single shrub,Live,4,140,3.6
9ba38a95-a0e4-4278-a8e3-d4fab9c25700,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.01878,liana,Live,1.2,130,NA
c46fe8b5-7657-491b-9190-45d55aa15fda,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02099,single shrub,Live,1.8,140,3.3
2322a3bd-3002-4364-8929-891ae8bac1f8,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.01882,liana,Live,130,NA,NA
2ff7b695-902d-43d6-bd61-f751ab015a24,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02242,single shrub,"Live, physically damaged",5,140,3.6
7d538430-1567-4996-ab25-155ccf5973dc,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02070C,NA,No longer qualifies,NA,NA,NA
1a33fbe9-8b33-4dca-bf6c-d1b3b07f4dad,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02242,single shrub,Live,2.7,140,3.6
38028e58-85f1-40eb-a7c7-817349774f09,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02240,single shrub,Live,3.9,130,4.4
8f6981fa-bef6-41a2-881d-5e8687ee6e61,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02073,single bole tree,Live,11.5,130,5.8
859fa7aa-3536-40f5-9d0a-a548aa57e58a,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02106,single shrub,Live,8.2,130,4.9
df2d62fb-2416-49ee-8e06-cb95fcb6afb8,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02242,single shrub,Live,3.8,140,3.6
2fd09b4c-04bb-4c38-b1c5-bba376de0476,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02140,single shrub,Live,3.3,130,2.5
1d811f06-b59a-42d8-914a-80b8f4db137c,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02083,single shrub,Live,3.3,130,3.8
ae3e8145-3e62-4662-8d14-df2d50b4c79d,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02074,NA,No longer qualifies,NA,NA,NA
0c9f7749-ca9b-4f6b-9073-1d64d41e5c04,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02131,single shrub,Live,1,130,2.3
e5cff760-2693-4059-8181-fa0085f5466c,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.01891,liana,Live,1.1,130,NA
3706d8af-1f42-4df9-82f0-915f64bc069e,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.05121,single shrub,"Live, insect damaged",5.4,130,3.8
98fb735b-4af0-4fbc-a069-9a0d621e4601,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02150,small shrub,Live,NA,NA,2.1
6ad27505-bcd7-40d9-8561-d81f8bc644ce,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.02152,single shrub,Live,1.9,130,3.2
1a34b195-5e74-4814-a39c-7a6b6bb7985a,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.05115A,multi-bole tree,"Live, physically damaged",7.6,130,6.2
147ec7ac-e550-4d32-a145-96cc21c55af6,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02105,NA,No longer qualifies,NA,NA,NA
6e7da347-1894-4518-a113-e999a93d07dc,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.05532,single shrub,Live,2.2,130,2.9
52fd83c8-307e-4462-8c07-37521b60cce9,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2017,GUAN_003,NEON.PLA.D04.GUAN.01181,single shrub,Live,7,130,5.4
77273cf4-2425-412c-bbf1-311132e64e57,GUAN_003.basePlot.vst,2017-12-05,vst_GUAN_2018,GUAN_003,NEON.PLA.D04.GUAN.02240,single shrub,Live,3.3,130,4.4
c0216cec-c2e6-4909-b36a-d7eab63b0441,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02420,small shrub,Standing dead,NA,NA,1.1
3d83a7df-981c-41ef-8d9a-c5a4b7b3beab,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02249,sapling,Live,NA,NA,1.5
9eff5758-f46f-4a94-b22a-f7a56f61b560,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02414,single shrub,Live,3.3,130,3.2
02b91e2c-30e7-41ed-9713-20d125c633f9,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02454,small tree,Live,6.9,130,3.9
71fb69bd-7ff0-4d7e-bb6e-5d28f15b084b,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02299,liana,Live,1,130,NA
c61b01b3-b516-45e3-a993-363ce703b634,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02257,single shrub,Live,2.7,130,3.3
913f9435-baea-4774-ad84-36f02404c3ff,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.05108,small tree,Live,1.2,130,2.1
b2c0ab7e-a1d1-443e-8b59-fa5dd1f4f07c,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02381,single shrub,Live,1.1,130,3
2126980f-8d9c-4bd3-a9d4-e636dfb16452,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02406,single shrub,Live,3.3,130,3.4
de1731f9-f070-44b7-8751-29e770147fab,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02456,NA,No longer qualifies,NA,NA,NA
11cb04aa-1faa-43ee-971b-b61103fbf398,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02282,liana,Live,1.2,NA,NA
6bfe3712-76f4-40e3-97b9-b73f004bacf7,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02318,NA,No longer qualifies,NA,NA,NA
8bf16598-d884-4b85-bfd2-94e574bc467f,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02256,single shrub,Live,1.2,130,2.5
04300329-d8a9-4777-b883-cf57457761f7,GUAN_015.basePlot.vst,2017-12-07,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02365,single shrub,Live,11.2,130,5
6ae882c0-31fd-4260-9172-06e244a70805,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02336,small shrub,Live,NA,NA,2.1
7725f510-e65e-4b8b-9e82-39dba8f0ebd5,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02351,single shrub,"Live, physically damaged",2.7,130,3.5
90f103b2-e3af-4235-a168-319ee80b4765,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02342,single shrub,Live,7.7,130,4.6
c48cf390-63d1-4c2c-9bc9-5b0f70c1940b,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02379,small shrub,Live,NA,NA,2.4
a098e73e-07df-43e9-9679-bf9fbd692848,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02326,single shrub,Live,5.9,130,3.1
d0250caa-3de5-48eb-ade5-8d93ed7dd8aa,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02338,small shrub,Standing dead,NA,NA,1.7
3b8c1036-0967-4c49-a176-92bc8fb82f4a,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02439,small tree,Live,1.5,130,2
7de40035-2be1-406a-b46b-3978c60e17fd,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02388,single shrub,Live,4,130,NA
6d8b1422-5dc7-4501-9d53-65c07d12fea0,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02388,single shrub,Live,4,130,NA
30adcaae-c181-4cd5-96ef-2662074d7c20,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.05150,small shrub,Live,NA,NA,1.6
00408a34-0182-49fa-b61f-cf84f31fbc36,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02280,NA,No longer qualifies,NA,NA,NA
d78037fb-f05c-4e6c-a71a-bcc5c358488c,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02335,single bole tree,Standing dead,12.9,130,7.5
7aa46c22-fba4-4ad5-9bb7-afe69bf893f6,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02289,liana,Live,1.1,130,NA
8982a134-803d-4742-affd-de49996ac1c2,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02172,single shrub,Live,1.1,130,2.4
c4cba6ec-f86d-44ec-bf72-f99a6058fee1,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02450,single shrub,Live,4.7,130,4
dbcc1a4d-543c-49c6-9554-c4fa5b45f653,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02388,single shrub,Live,6,130,NA
fcb4da2d-e2cf-426b-8329-7adb95bb4beb,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02437,single shrub,Live,1.4,130,2.5
45160896-d5c7-411d-8ba3-853be2af8012,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02337,small shrub,Live,NA,NA,2.4
fafb00c0-216a-4ca1-9d8e-7369517cc739,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02310,small shrub,Live,NA,NA,2.4
89256125-c023-4a37-8dc7-29a67872a22d,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02445,small shrub,Live,NA,NA,1.7
7d305121-5a8e-4a48-83a9-5733963d57ff,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02352,NA,No longer qualifies,NA,NA,NA
de204088-85d5-4cf5-8282-b58d70dc95cb,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02243,liana,Live,2.4,130,NA
86c046b6-e84e-4251-8b71-b5842b9cd945,GUAN_015.basePlot.vst,2017-12-11,vst_GUAN_2017,GUAN_015,NEON.PLA.D04.GUAN.02388,single shrub,Standing dead,3.6,130,NA
