uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
4a030ba0-2862-42ff-a844-5c664e416862,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03764,NA,single bole tree,17.7,130,17.7,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
69d8191d-8c22-45fc-8231-deb3a7815b83,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03891,NA,single bole tree,36.2,130,16.1,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
41a0c6c0-4564-4b89-a7f7-fbd0b2340769,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03889,NA,single bole tree,35.0,130,20.9,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
26bb1b8b-f312-4c77-b2d7-43f7307a9ab9,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03781,NA,single bole tree,15.8,130,25.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
96688cd7-aaf2-4e01-b7c2-a0b5e2b2a83b,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03767,NA,single bole tree,19.7,130,17.5,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
56de1df5-3eed-4f7d-848b-0c59eaf47473,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03768,NA,multi-bole tree,10.5,130,10.6,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
379bb2b7-c2ef-4a2c-b3d3-f0b06849dfa1,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03608,NA,multi-bole tree,14.4,130,15.0,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
a28e79cc-15c3-4255-83e8-c2707542eaaa,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03636,NA,single bole tree,25.9,130,22.0,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
31634241-57fb-40f6-b676-24fdfd23cd36,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03761,NA,single bole tree,54.4,130,23.5,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
1f877dc1-5c83-45c6-881d-6a34985769e0,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03632,NA,single bole tree,34.7,130,20.5,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
c72ac2b3-c341-46b4-9d91-72898ca5a3d9,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03896,NA,single bole tree,26.5,130,17.0,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
e26e8abe-3260-4ed7-863b-0ff76e52af30,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03756,NA,single bole tree,18.3,130,15.1,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
0bbde597-0b98-4978-8f5c-cecb08898a17,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03772,NA,single bole tree,29.6,130,21.3,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
5f7f3fb0-4905-40d4-a96b-9b20cb6d903e,BART_040.basePlot.vst,2016-09-06,vst_BART_2016,D01,BART,BART_040,NEON.PLA.D01.BART.03627,NA,single bole tree,23.4,130,13.7,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,31fb93825ff2ca2dd9986bf9760b15af
bae42f06-d515-488c-96b7-906e4556f650,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03346,NA,single bole tree,14.8,130,10.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
cb2a3fd9-b74d-4757-a1e2-bd982adb227d,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03372,NA,small tree,9.8,130,11.8,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
49ef08ed-c91a-4463-9976-f820b2362c56,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03337,NA,single bole tree,21.2,130,14.5,NA,13.0,15.0,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
5375e2fe-bfde-4836-9d8f-a1ebbaf86252,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.04229,NA,single bole tree,86.4,130,18.1,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
b5412882-2720-4526-bce2-9bc9eb305e41,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03502,NA,single bole tree,11.0,130,9.5,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
67a6ee5a-75cc-4100-b1f9-e58e0d44e0d7,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.04231,NA,multi-bole tree,21.4,175,18.4,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
ba262f7d-93cf-4426-997a-6de063b9f13b,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03514,NA,single bole tree,12.3,130,8.3,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
8154e32b-b00e-4bad-9fb1-67dbdd81175a,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03353,NA,single bole tree,43.6,130,18.0,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
ec77bd17-4c70-4b01-a3de-269ac119ff51,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.04232,NA,single bole tree,17.8,160,12.8,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
bae8fb26-a3c3-4d0f-8b45-ddc23f6f306a,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03519,NA,single bole tree,10.4,130,11.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
929d4cf5-7b82-4bb6-ad44-05514ba83eac,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03338,NA,multi-bole tree,19.8,130,19.0,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
88503ded-f823-43a0-ada4-e36b9744ebd4,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03351,NA,single bole tree,30.5,130,8.3,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
ea1e99f0-891d-44c0-8888-976cf909dfba,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.04950,NA,single bole tree,29.3,130,19.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
7975ba0b-be90-421a-8b5d-e43cec21837f,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03341,NA,single bole tree,38.5,130,19.2,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
ae8f5464-2626-4014-972c-8ffff4f8ba06,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03342,NA,single bole tree,11.4,130,15.4,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
df40bd2d-8633-48a8-ae05-7c77905ccf83,BART_071.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_071,NEON.PLA.D01.BART.04246,NA,single bole tree,26.7,130,16.5,NA,NA,NA,NA,NA,NA,NA,NA,5a5381f8a9c49e933ae232f23570e02d,521ed1ff5d1a4cda901a7232ba335fae
bb9badff-e1e1-4ad3-b08c-ede192e1fec9,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.04227,NA,single bole tree,11.3,130,9.9,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
a6d21cb3-181e-4594-8adb-1259d2d79007,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03504,NA,single bole tree,11.0,130,9.6,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
8a06a83f-1490-4efd-a2b4-ff9806ffd942,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.04224,NA,single bole tree,10.9,130,7.7,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
2d93a521-c71c-4572-8b3e-df32d2e8881e,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03510,NA,single bole tree,40.3,130,20.3,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
c16d52b5-ef63-4af9-bc4a-879ddb0b6cf5,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03505,NA,multi-bole tree,23.7,130,16.7,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
153cdb58-990c-48d9-8378-4f23730daa92,BART_032.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_032,NEON.PLA.D01.BART.03330,NA,multi-bole tree,43.5,130,19.4,NA,NA,NA,NA,NA,NA,NA,NA,b10d835c1def5a77557be2b76be9340e,5a5381f8a9c49e933ae232f23570e02d
65decce8-c787-47a2-bd93-f9951747c19c,BART_071.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_071,NEON.PLA.D01.BART.03532,NA,single bole tree,31.5,130,16.6,NA,16.6,15.0,NA,NA,NA,NA,NA,5a5381f8a9c49e933ae232f23570e02d,521ed1ff5d1a4cda901a7232ba335fae
77cd8e6f-a08b-4aa4-ba52-09cf9d74af2e,BART_071.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_071,NEON.PLA.D01.BART.03531,NA,single bole tree,23.6,130,16.2,NA,16.2,8.0,NA,NA,NA,NA,NA,5a5381f8a9c49e933ae232f23570e02d,521ed1ff5d1a4cda901a7232ba335fae
7d13059f-8d82-4ebb-8d46-2fcfd67ecc9b,BART_071.basePlot.vst,2016-09-07,vst_BART_2016,D01,BART,BART_071,NEON.PLA.D01.BART.04267,NA,multi-bole tree,20.9,130,14.7,NA,NA,NA,NA,NA,NA,NA,NA,5a5381f8a9c49e933ae232f23570e02d,521ed1ff5d1a4cda901a7232ba335fae
