uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
a3d76364-c96c-45bd-a1cf-46e057ed911e,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04692,NA,single bole tree,11.8,140,3.6,NA,NA,NA,3.9,3.6,Partially shaded,NA,NA,2c996e13a32125e8feeb83b3a351b7cf,e1ccb11430241cd52799dcbac08c88ce
38a11556-36f0-4004-8f05-fe627df90c43,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04695,NA,single bole tree,20.2,140,5.8,NA,NA,NA,11.3,8.2,Full sun,NA,NA,2c996e13a32125e8feeb83b3a351b7cf,e1ccb11430241cd52799dcbac08c88ce
529a59bf-ed2c-48c8-bdd4-f529d212f3e0,GUAN_019.basePlot.vst,2016-05-27,vst_GUAN_2016,D04,GUAN,GUAN_019,NEON.PLA.D04.GUAN.05009,NA,single bole tree,12.9,130,4.5,NA,NA,NA,3.3,3.2,Full sun,NA,NA,e1ccb11430241cd52799dcbac08c88ce,2c996e13a32125e8feeb83b3a351b7cf
