uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
2a10438a-dcd5-40b6-8904-45221577ee24,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04196,NA,small tree,2.3,130,2.9,NA,NA,NA,NA,NA,NA,NA,NA
c8540976-e303-416f-8b1d-cd4d4034ae17,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04090,NA,single shrub,2.8,130,2.5,NA,NA,NA,NA,NA,NA,cylinder,2.8
3bf4e7f6-bf61-4859-80d6-a569c056ceb2,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04818,NA,liana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428f91c7-9b2e-468e-9622-579be30fe268,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04714,NA,liana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4792960c-389f-453a-9c95-4a2568999bcb,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04261,NA,liana,1.8,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
7d590136-525c-414d-849e-065089adbb5a,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04807,NA,sapling,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,1.0
bebfc7f5-6890-414e-add4-a82b1bdf9572,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04090,NA,single shrub,2.5,130,2.5,NA,NA,NA,NA,NA,NA,cylinder,2.7
7e4e6c57-21c2-4bc1-9c4f-ded1882d0b90,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ecde9bac-bd55-4661-9058-cee4743dd658,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04227A,NA,multi-bole tree,15.3,130,9.2,NA,NA,NA,9.7,7.6,Open grown,NA,NA
bbb3888e-243f-4149-8c9d-7651921bf665,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04809,NA,single shrub,1.4,130,3.0,NA,NA,NA,0.3,0.3,NA,cylinder,2.0
860d5090-43a4-40c4-9184-f3b0aa1589ad,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04701,NA,single shrub,1.4,130,1.3,NA,NA,NA,1.5,0.4,NA,cylinder,2.0
9a0c1a4b-eeb6-41e3-b466-fd480b1fa385,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b389ab61-adae-4745-b679-2e3ecedf3322,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04093,NA,small tree,2.4,130,3.8,NA,NA,NA,NA,NA,NA,NA,NA
885d20a9-60d6-4dfe-9559-3285a85d55a7,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04806,NA,single shrub,1.5,130,1.9,NA,NA,NA,2.4,1.4,NA,cylinder,2.0
8389e180-cafe-4bd7-a8eb-2a222198fb30,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04026,NA,small tree,5.4,130,4.6,NA,NA,NA,NA,NA,NA,NA,NA
8c301707-5098-4275-8cd9-b9bb1c4a371c,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69ed8bc0-1258-434b-8247-199d4a330649,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04192,NA,sapling,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,10.0
c38babdd-a720-453c-a2e8-0d2ed3b6520e,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04076,NA,small tree,4.7,130,4.2,NA,NA,NA,NA,NA,NA,NA,NA
2651487a-eb6d-4dc7-b208-473385630643,GUAN_006.basePlot.vst,2018-02-05,vst_GUAN_2017,D04,GUAN,GUAN_006,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a71e24c7-66fc-41fa-a442-66152714a773,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04185,NA,single bole tree,16.0,130,3.5,NA,NA,NA,4.7,2.6,Partially shaded,NA,NA
f49ccd5f-838b-4cca-a497-035bbfb1d44c,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04761,NA,small shrub,NA,NA,2.1,NA,NA,NA,0.8,0.8,NA,cylinder,1.2
bc8e819d-64ad-4a5e-9577-39a63ff2745a,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04905,NA,small shrub,NA,NA,2.0,NA,NA,NA,1.2,0.9,NA,cylinder,1.9
66b2941b-89ca-4fd5-8edb-621f5befc202,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33b9e854-701b-4cb8-87d7-4e3529481b0a,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3da3a9cd-b51c-4558-9b93-22475930b0bd,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04043,NA,single shrub,3.1,130,3.1,NA,NA,NA,1.5,1.1,NA,cylinder,4.0
7e13de3b-80de-45cb-bab5-cc61f5c8334a,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04170,NA,multi-bole tree,15.8,130,4.9,NA,NA,NA,7.1,5.5,Partially shaded,NA,NA
722e5caa-17cf-4266-a1fb-e758843ef72a,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04776,NA,liana,2.5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
5927bd99-78c2-4112-aab8-9a4911bd131b,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04043,NA,single shrub,3.5,130,3.1,NA,NA,NA,1.5,1.1,NA,cylinder,5.8
37e88fa0-d254-4a9c-ab9c-90b9a11c8012,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04268,NA,single shrub,1.7,130,2.4,NA,NA,NA,3.2,1.2,NA,cylinder,2.3
76a933fc-5bd7-4013-8c71-a58c85f381d5,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04268,NA,single shrub,1.5,130,2.4,NA,NA,NA,3.2,1.2,NA,cylinder,1.7
a7926f41-9069-4925-b0eb-f2e95d53c861,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04280,NA,single shrub,1.8,130,3.5,NA,NA,NA,0.9,0.8,NA,cylinder,2.5
a2e710e0-439d-4c07-85da-17d98ff09b2f,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04181,NA,multi-bole tree,10.5,160,4.9,NA,NA,NA,6.1,3.6,Mostly shaded,NA,NA
3bd651e6-3cb7-430d-8397-1f7250ebd398,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04171,NA,single bole tree,33.8,130,5.9,NA,NA,NA,7.3,5.7,Open grown,NA,NA
afcf65b2-43d8-410f-821f-1f6139d49ae4,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04763,NA,single shrub,2.3,130,2.8,NA,NA,NA,1.7,1.1,NA,cylinder,4.0
07b75256-adfe-49bc-bae5-3709c321586c,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.03291,NA,small tree,3.5,130,3.5,NA,NA,NA,NA,NA,NA,NA,NA
49368962-17c0-4be4-90dc-66b4997800ab,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04827,NA,liana,1.8,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
b617e176-87a4-4193-ba35-09375b868c7e,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04081,NA,liana,3.4,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba5f4b9e-c528-450c-88a8-baf7ff7e9132,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04743,NA,single shrub,1.8,130,3.0,NA,NA,NA,1.7,1.6,NA,cylinder,2.6
4940bb2f-9f12-41a6-bfdb-470bc109ec06,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04831,NA,single shrub,5.1,130,2.4,NA,NA,NA,1.6,1.5,NA,cylinder,5.0
445aa071-e208-42da-b452-2821c5a2eeb3,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04043,NA,single shrub,3.7,130,3.1,NA,NA,NA,1.5,1.1,NA,cylinder,5.0
a60e9b19-5e0d-4823-a2d1-95672bab530c,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04825,NA,single shrub,1.3,130,3.0,NA,NA,NA,0.9,0.7,NA,cylinder,2.4
8cd99f9b-5c7f-4c1f-acb3-9d24deadaa81,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04170B,NA,multi-bole tree,10.3,130,4.9,NA,NA,NA,7.1,5.5,Partially shaded,NA,NA
c04d6660-97dd-46e3-97d9-4ed4c8e6fd8e,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04155,NA,liana,1.6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
302b4a1a-ee31-4fc5-b1a5-51164f0913e5,GUAN_005.basePlot.vst,2018-02-06,vst_GUAN_2017,D04,GUAN,GUAN_005,67499baacf0123d415a4bb5d2903a907,ac35660f11cf4ac443e6c8be53fd9d4b,NEON.PLA.D04.GUAN.04279,NA,small tree,4.4,130,2.4,NA,NA,NA,NA,NA,NA,NA,NA
d2559b50-8835-4555-998f-c13ede42f382,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04966,NA,single shrub,2.6,130,3.9,NA,NA,NA,3.3,2.9,NA,inverted cone,2.9
0b9becdd-b7cb-459c-88d0-bf5b23cf7e3a,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04876,NA,single shrub,4.6,130,4.0,NA,NA,NA,3.4,2.0,NA,cylinder,5.9
aa85a8ef-013b-4d80-b61f-86038458999b,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04966,NA,single shrub,1.8,130,3.9,NA,NA,NA,3.3,2.9,NA,inverted cone,2.9
b630a165-55cf-40cc-a7f4-9c55f2e548e6,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04946,NA,single shrub,2.4,130,2.4,NA,NA,NA,NA,NA,NA,cylinder,6.0
8e508bbf-8662-439c-83e3-96fc73cf5c96,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04876,NA,single shrub,3.2,130,4.0,NA,NA,NA,3.4,2.0,NA,cylinder,3.9
fe015b8b-25b1-4035-8558-3f4bc4c24f32,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04842,NA,single shrub,6.0,130,1.8,NA,NA,NA,2.2,2.1,NA,inverted cone,8.8
1e49cfbd-d755-4631-98fd-cbaeb8c84025,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04954,NA,single shrub,2.2,130,3.0,NA,NA,NA,1.0,0.8,NA,cylinder,2.9
5875367d-f883-47ee-91dc-0e740d434a08,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.03669,NA,single shrub,3.2,130,3.6,NA,NA,NA,2.9,2.8,NA,inverted cone,3.7
03d47e72-740a-48d8-92f0-e55626a2d6c2,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04843,NA,single shrub,5.9,130,4.3,NA,NA,NA,1.4,1.0,NA,cylinder,10.8
a45fe09e-43ef-43b9-8766-c4984e3cc0bf,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04887,NA,small shrub,NA,NA,1.5,NA,NA,NA,0.6,0.2,NA,cylinder,1.7
94e581d3-81b0-4e44-be7e-688698913f9c,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04964,NA,single shrub,1.0,130,3.0,NA,NA,NA,1.1,0.5,NA,cylinder,1.6
9ee7cf06-d4ad-48d9-82a0-1f5007e5b389,GUAN_019.basePlot.vst,2018-02-07,vst_GUAN_2017,D04,GUAN,GUAN_019,67499baacf0123d415a4bb5d2903a907,7fc85b9a5e2095946d672ee825424220,NEON.PLA.D04.GUAN.04752,NA,single shrub,1.9,130,2.9,NA,NA,NA,1.6,1.2,NA,cylinder,2.5
