uid,namedLocation,date,eventID,domainID,siteID,plotID,measuredBy,recordedBy,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter
5a7d863e-10d5-4c0a-b98a-d868ea93efcd,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05048,NA,sapling,1.6,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA
a8951ab9-4462-48dd-ab9e-7b89e24f2e03,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05419,NA,single bole tree,12.3,130,7.7,NA,NA,NA,NA,NA,NA,NA,NA
e485203e-879e-4b56-b13a-0a6a56f0040f,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05432,NA,single bole tree,12.1,130,10.6,NA,NA,NA,NA,NA,NA,NA,NA
0e5060ec-a6d8-46d1-ba6e-dedb9129931c,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05411,NA,single bole tree,39.5,130,19.0,NA,NA,NA,NA,NA,NA,NA,NA
fd7df37f-94bf-4fbe-825a-4bbd4711e9b9,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05345,NA,small tree,8.5,130,5.5,NA,NA,NA,NA,NA,NA,NA,NA
f099e7b2-b06e-4b76-ab19-3e9e3bb30086,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05439,NA,single bole tree,24.6,130,19.2,NA,NA,NA,NA,NA,NA,NA,NA
140dbbb9-dcbf-4035-b1c8-6572cb9444cf,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05029,NA,small tree,3.9,130,4.6,NA,NA,NA,NA,NA,NA,NA,NA
e6304e31-1115-4260-a84d-e9d322279770,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05466,NA,sapling,1.0,10,1.0,NA,NA,NA,NA,NA,NA,NA,NA
3cd8983e-ffe8-48fc-b709-061a134f9b67,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05414,NA,multi-bole tree,21.9,130,17.6,NA,NA,NA,NA,NA,NA,NA,NA
b8ec1627-89c1-4f7d-b2db-cdfa560c84c4,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05437,NA,single bole tree,24.3,130,17.3,NA,NA,NA,NA,NA,NA,NA,NA
1492f1d8-11c4-4df6-9817-fe44c8673098,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05093,NA,single bole tree,19.5,130,18.9,NA,NA,NA,NA,NA,NA,NA,NA
41d831b2-9147-44e9-b048-f1e5c4b7b0fc,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05449,NA,small tree,5.3,130,3.8,NA,NA,NA,NA,NA,NA,NA,NA
cfa4f21d-3169-4732-b739-a532a66ce063,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05450,NA,small tree,9.7,130,5.3,NA,NA,NA,NA,NA,NA,NA,NA
6bdc20c2-e5a9-43c8-a648-ef370967ae2f,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05284,NA,single bole tree,33.9,130,16.8,NA,NA,NA,NA,NA,NA,NA,NA
f8447577-cc69-449f-b3ed-ab7faf95d7bf,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05434,NA,single bole tree,14.3,130,15.6,NA,NA,NA,NA,NA,NA,NA,NA
12164e17-4849-45c0-b5c8-ec1d238a9c26,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05446,NA,sapling,1.4,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA
22b1eb63-a04a-4249-a922-bb7f10e91832,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05329,NA,small tree,5.0,15,1.8,NA,NA,NA,NA,NA,NA,NA,NA
5e850dc0-8fdd-4de8-b3c0-958c812b663a,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05274,NA,single bole tree,12.6,130,12.0,NA,NA,NA,NA,NA,NA,NA,NA
23c9c2f5-149c-4663-bd7a-8b145511ccac,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05455,NA,sapling,1.0,10,0.8,NA,NA,NA,NA,NA,NA,NA,NA
a76322bb-62a6-4bd5-b85e-23261ae44673,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05185,NA,sapling,1.4,10,1.3,NA,NA,NA,NA,NA,NA,NA,NA
05241e20-3ba9-4cf7-a5bb-679ac3ad1d9a,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05410,NA,single bole tree,21.2,130,15.0,NA,NA,NA,NA,NA,NA,NA,NA
7f7630fa-f0ba-48ef-907d-80de6d3250cf,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05081,NA,single bole tree,20.2,130,15.4,NA,NA,NA,NA,NA,NA,NA,NA
ea0fcb35-ca6a-44b1-b3f3-8205cf2f5c35,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05469,NA,small tree,8.0,130,5.6,NA,NA,NA,NA,NA,NA,NA,NA
975aff1d-a628-4e10-81bc-09126276d86b,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05283,NA,single bole tree,10.6,130,13.6,NA,NA,NA,NA,NA,NA,NA,NA
fa6793d0-461d-4298-900a-29badb97b63b,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05023,NA,sapling,1.1,10,1.0,NA,NA,NA,NA,NA,NA,NA,NA
73b6dbad-538a-405a-a0c0-1088b877844f,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05319,NA,sapling,1.2,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA
229f36bc-5855-4602-b3b2-9881f378df55,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05323,NA,small tree,5.4,130,2.1,NA,NA,NA,NA,NA,NA,NA,NA
3684fb01-fd34-4239-bc16-29630448da77,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05183,NA,sapling,2.0,10,1.4,NA,NA,NA,NA,NA,NA,NA,NA
c267691d-6962-4afa-97e7-4a9de9983f24,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05223,NA,single bole tree,2.0,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA
08ed874b-b2a4-4d4c-9a42-afd9e28fbd27,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05174,NA,small tree,1.9,130,2.1,NA,NA,NA,NA,NA,NA,NA,NA
dc801393-e67d-4675-ac3e-8e03dedcb74a,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05322,NA,sapling,1.8,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA
8eee9152-3222-4625-9b3a-92a03340659e,BART_044.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_044,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.05317,NA,small tree,7.4,130,7.6,NA,NA,NA,NA,NA,NA,NA,NA
7f17d9f7-7247-4020-8c8f-eef00b4cebe8,BART_037.basePlot.vst,2015-08-26,vst_BART_2015,D01,BART,BART_037,3be9691fc06e125e6c2b316fc6c6be4b,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05229,NA,sapling,2.3,10,1.3,NA,NA,NA,NA,NA,NA,NA,NA
09dcaa3a-07a1-43f3-aa0e-abd4fc212b87,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05235,NA,sapling,2.5,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA
d1320969-0bcc-4d40-92c9-a7a630afd3c9,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03655,NA,small tree,1.9,130,3.6,NA,NA,NA,NA,NA,NA,NA,NA
db596bc4-96f4-4c35-925e-29360675893c,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05164,NA,sapling,1.5,10,1.6,NA,NA,NA,NA,NA,NA,NA,NA
85be0b83-1521-4073-98d5-455f3048c116,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03920,NA,multi-bole tree,23.5,130,11.1,NA,NA,NA,NA,NA,NA,NA,NA
53658ed7-4f64-444a-83b7-883fcb926162,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05033,NA,sapling,1.5,10,0.6,NA,NA,NA,NA,NA,NA,NA,NA
be623f24-4e09-4b39-9a17-984dcee4cf2e,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05223,NA,single bole tree,17.8,80,11.9,NA,NA,NA,NA,NA,NA,NA,NA
2bf7ac41-9cd7-4582-b129-574596c1581d,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05266,NA,sapling,1.7,10,1.2,NA,NA,NA,NA,NA,NA,NA,NA
ffaa307a-01bc-4d6f-a86f-299a01d90c45,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03893,NA,single bole tree,50.0,130,21.7,NA,NA,NA,NA,NA,NA,NA,NA
125a89d7-5447-4e96-b5ef-950abb339e7a,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05130,NA,single bole tree,42.1,130,18.4,NA,NA,NA,NA,NA,NA,NA,NA
5f1de9e5-3783-40be-a61e-c79af62f3085,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03668,NA,single bole tree,14.5,130,10.3,NA,NA,NA,NA,NA,NA,NA,NA
cc425521-6ce0-47c9-a88f-631c306b1040,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05199,NA,sapling,1.0,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA
e0c7a263-338b-4f21-bdfe-7dfd85c5e0df,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03963,NA,NA,5.3,130,9.4,NA,NA,NA,NA,NA,NA,NA,NA
877af636-4b6a-40ca-8b3f-db416580ea41,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03932,NA,single bole tree,31.0,130,15.8,NA,NA,NA,NA,NA,NA,NA,NA
f6397ae7-b11c-41d7-a201-ca2ebf35b036,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05205,NA,single bole tree,10.5,130,10.7,NA,NA,NA,NA,NA,NA,NA,NA
b56c946c-7204-440b-bd6c-0234d0464fde,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03661,NA,sapling,1.3,10,1.2,NA,NA,NA,NA,NA,NA,NA,NA
4ca05319-e7a6-4da9-879c-bcd6db7db840,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03961,NA,small tree,1.3,130,2.1,NA,NA,NA,NA,NA,NA,NA,NA
d46b55a7-2364-49c5-b05e-29471ca936f3,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05049,NA,small tree,1.7,130,2.6,NA,NA,NA,NA,NA,NA,NA,NA
89dda486-9e98-4312-9106-8724276f4d95,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05215,NA,single bole tree,14.0,130,9.0,NA,NA,NA,NA,NA,NA,NA,NA
09148b84-ad4e-48f4-9881-294aa64ab790,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03602A,NA,NA,21.5,130,17.7,NA,NA,NA,NA,NA,NA,NA,NA
bc806d7f-8c6c-45cf-8ff1-e5b6f3d68cf9,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03678,NA,single bole tree,17.7,130,9.5,NA,NA,NA,NA,NA,NA,NA,NA
a35962e0-daed-4cce-9643-93b1dfd8a7f4,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03799C,NA,NA,24.2,140,17.7,NA,NA,NA,NA,NA,NA,NA,NA
95da11fe-eef4-46bf-b44e-6f1bb7084970,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03675,NA,single bole tree,17.9,130,15.6,NA,NA,NA,NA,NA,NA,NA,NA
f2a99821-c288-4af4-8c30-11faff8ffd72,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05132,NA,single bole tree,33.9,130,19.1,NA,NA,NA,NA,NA,NA,NA,NA
9a5e2341-4e53-4285-9a5c-0df7150f6ed2,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05189,NA,sapling,3.0,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA
0f255f36-194c-4ad9-8fd2-2710db964260,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05252,NA,sapling,1.3,10,1.0,NA,NA,NA,NA,NA,NA,NA,NA
9df7314a-798c-471f-afbe-f0a0b320c696,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05209,NA,single bole tree,23.7,130,18.1,NA,NA,NA,NA,NA,NA,NA,NA
63dbeb5c-99b9-4253-8294-51f96b2245f7,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03791,NA,small tree,2.9,130,2.7,NA,NA,NA,NA,NA,NA,NA,NA
5502c221-3413-4d57-802e-a37c90e3cf3c,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03674,NA,single bole tree,11.0,130,10.5,NA,NA,NA,NA,NA,NA,NA,NA
8a68c4fd-9ad9-41a0-a7cf-4cabb347a751,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05195,NA,sapling,1.8,10,1.9,NA,NA,NA,NA,NA,NA,NA,NA
2090f5c0-5a6b-4e02-998d-b98d394d75e0,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03695,NA,sapling,1.4,10,1.2,NA,NA,NA,NA,NA,NA,NA,NA
e48525b3-461f-4a49-96a3-cabfeff12ae9,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05203,NA,single bole tree,11.3,130,10.7,NA,NA,NA,NA,NA,NA,NA,NA
32a3c43a-2908-4263-8c8c-49607042902c,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03653,NA,sapling,1.2,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA
867e7890-12d7-467b-aa52-6a4aba8f1cc8,BART_037.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_037,352bf92fef709919c49b8bf3805baa96,ee812cb54b2e0419496295af6a99c3dd,NEON.PLA.D01.BART.05060,NA,single bole tree,11.2,130,8.0,NA,NA,NA,NA,NA,NA,NA,NA
6e78fe2e-c8ea-40a4-836f-31c51b517628,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05222,NA,single bole tree,15.9,130,13.7,NA,NA,NA,NA,NA,NA,NA,NA
e7ceb362-9fcb-4ed3-bcc8-b23d9c2266b3,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03953,NA,single bole tree,34.5,130,16.8,NA,NA,NA,NA,NA,NA,NA,NA
476d0324-0331-412f-8637-cab8664cc32c,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03907,NA,small tree,18.2,130,13.5,NA,NA,NA,NA,NA,NA,NA,NA
ad31070c-967b-4b39-b890-fd788e87a600,BART_040.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_040,201239c79f68859821be3b816d69a79f,3be9691fc06e125e6c2b316fc6c6be4b,NEON.PLA.D01.BART.03657,NA,sapling,2.1,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA
2c459534-e85e-469b-abdc-7e38188835a9,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05201,NA,single bole tree,19.5,130,13.9,NA,NA,NA,NA,NA,NA,NA,NA
d3d23fc9-e523-4c3e-9a61-757dc4d806e2,BART_073.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_073,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.BART.03910,NA,small tree,2.5,130,2.0,NA,NA,NA,NA,NA,NA,NA,NA
9d901bfb-13c5-4a36-93aa-9ce2ea29f775,BART_074.basePlot.vst,2015-08-27,vst_BART_2015,D01,BART,BART_074,3be9691fc06e125e6c2b316fc6c6be4b,201239c79f68859821be3b816d69a79f,NEON.PLA.D01.BART.05135,NA,single bole tree,35.1,130,17.3,NA,NA,NA,NA,NA,NA,NA,NA
