uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempShrubStemID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
8226ceb3-8aab-4854-8b04-f6131580355a,BART_041.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_041,NEON.PLA.D01.BART.02854,NA,multi-bole tree,42.0,130,18.5,NA,NA,NA,NA,NA,NA,NA,NA,352bf92fef709919c49b8bf3805baa96,201239c79f68859821be3b816d69a79f
8b023e1c-05a7-48fe-8699-f1cd3ef6a73e,BART_050.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_050,NEON.PLA.D01.BART.03441,NA,single bole tree,47.8,130,18.9,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
ab9f4f31-8378-483b-885c-b1dc6cd085e2,BART_050.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_050,NEON.PLA.D01.BART.03084,NA,single bole tree,20.1,130,8.2,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
807b3535-7244-4e68-91fe-6037b5b7b050,BART_051.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_051,NEON.PLA.D01.BART.04069,NA,single bole tree,17.6,130,15.9,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
9332e1e4-6d2f-4041-9c49-e2e9e64a60a0,BART_041.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_041,NEON.PLA.D01.BART.00996,NA,single bole tree,27.8,130,14.6,NA,NA,NA,NA,NA,NA,NA,NA,352bf92fef709919c49b8bf3805baa96,201239c79f68859821be3b816d69a79f
c8f81e10-4379-4fc9-945e-2f0c2e60bdf5,BART_039.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_039,NEON.PLA.D01.BART.03883,NA,single bole tree,13.5,130,15.7,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
903d74f3-6ddc-47ab-b2cf-1e66be62301e,BART_039.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_039,NEON.PLA.D01.BART.03864,NA,single bole tree,21.0,115,17.4,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
8b0c730b-3b48-4863-a6f1-8dee6d9097c3,BART_050.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_050,NEON.PLA.D01.BART.03440,NA,single bole tree,13.6,130,7.6,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
b6732fcd-afba-4b51-9263-39f9143b5209,BART_050.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_050,NEON.PLA.D01.BART.03307,NA,single bole tree,14.4,130,10.4,NA,NA,NA,NA,NA,NA,NA,NA,00dcd884fa3679b510ba68961ca9637c,3be9691fc06e125e6c2b316fc6c6be4b
7d8e21a1-8f0c-447f-9b25-eeb45a03145b,BART_039.basePlot.vst,2015-09-02,vst_BART_2015,D01,BART,BART_039,NEON.PLA.D01.BART.03964,NA,single bole tree,38.0,130,16.8,NA,NA,NA,NA,NA,NA,NA,NA,fc871354fbf5b2b8279f82b7e40032d2,3be9691fc06e125e6c2b316fc6c6be4b
