uid,namedLocation,date,eventID,plotID,individualID,growthForm,plantStatus,stemDiameter,measurementHeight,height
32b4c5a0-64d3-4059-9b69-51a4c8c429ed,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04659,small tree,"Live, insect damaged",8.6,130,7.2
1ef00540-e96c-4b09-8c2b-67d70f9c929f,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10012,single bole tree,Live,22.8,130,17.3
923885ab-717f-485e-929b-bcc06c1f3e2f,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04565A,multi-bole tree,Live,10.4,130,NA
ce548433-a894-496a-9bb0-661de06ac767,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.09808,single bole tree,Standing dead,28,130,18.6
3ec1cc4d-cc24-4abd-b53b-515581813740,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04073,single bole tree,"Dead, broken bole",21.9,130,4.8
fcf92066-03d5-43c9-810b-12b9d3882dd0,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10450,single bole tree,Standing dead,15.5,130,12.1
570e3a3a-a326-4a7d-83d9-394e51df3855,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10451,multi-bole tree,Live,38.1,130,20.5
d33ca669-5ba8-48d7-bc10-bbc20604ccf7,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10004,small tree,"Live, insect damaged",2.3,130,3.1
50fdc668-55a4-4dab-8d62-cff4469e194f,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10881,sapling,Standing dead,NA,NA,1.4
09bc007a-887c-4e47-97f4-46e7f1107ced,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04067,single bole tree,"Dead, broken bole",10.8,130,11.8
9ee0c1a4-998c-4735-a255-87679624faca,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10610,sapling,Live,NA,NA,0.5
0e50fe34-a22c-4d1f-a630-815c0a6049dc,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04659,small tree,Standing dead,2.9,130,7.2
19a123b5-99b3-494b-892e-dfe7c717c1a3,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04074,single bole tree,Live,10.5,130,12.4
91f66e3f-5792-49c8-8aeb-a5a017880bd4,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10006,sapling,Standing dead,NA,NA,1.2
2a995b8f-653e-4aef-b044-d4d3aa4d1231,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10455,sapling,Live,NA,NA,1
99133fe6-71e6-48e5-8f73-ece72303386e,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10448,single bole tree,Standing dead,12.2,130,11.4
5c54fa81-54df-482f-a365-56dcde11fdd9,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10001,small tree,"Live, insect damaged",4.5,130,6
1e9ad2de-70ee-4942-8d40-6c8f2bdadfd7,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04667,small tree,"Live, insect damaged",9.9,130,10.7
21d8c38e-e2a1-4570-8db1-0a7888c1a0af,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10364,single bole tree,Live,10.2,130,12.6
a87e61d5-fd8a-47e2-b9ef-75c1a73c4f27,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10008,small tree,Standing dead,2.5,130,2.6
808bfd88-b8fe-483c-af89-3981e1c5d647,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.08932,small tree,"Live, physically damaged",7.2,130,9.1
ce02d04f-bf73-430f-b6eb-202d2407920f,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.09869B,multi-bole tree,Live,10,130,NA
1f595fd9-5861-4fb1-b5e7-ad097e68a4e5,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10011,single bole tree,"Live, insect damaged",27.6,130,17.3
8f1d0601-b7e3-4a1e-9155-8b136f684ff0,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10493,sapling,Live,NA,NA,1.1
7d25d8eb-ef42-4267-b348-9f5ca5750825,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04071,single bole tree,Live,16.1,130,16.2
af5719c0-ec90-42bb-9ce9-54121ae0e668,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10459,small tree,"Dead, broken bole",8,130,1.7
ceadf4d9-cd88-42e0-aeff-6c8963336dd2,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04079,multi-bole tree,"Live, insect damaged",18.3,130,13.1
eab188ea-a30a-48bd-9b24-4aa6effa1e39,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.04686,small tree,"Dead, broken bole",8.1,130,3.2
523a48e5-8dc9-4efc-b52a-e544242316bc,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10013,sapling,Live,NA,NA,1
268ee74f-992b-4416-ae20-5b7528a964b1,HARV_035.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_035,NEON.PLA.D01.HARV.10492,single bole tree,Live,10,130,14.7
a9eed5dd-6f29-4b94-897a-1c567ecddee5,HARV_039.basePlot.vst,2017-09-05,vst_HARV_2017,HARV_039,NEON.PLA.D01.HARV.10452,sapling,Live,NA,NA,1.2
