uid,namedLocation,date,eventID,plotID,individualID,growthForm,plantStatus,stemDiameter,measurementHeight,height
b23dff02-5deb-49e4-99ae-e56f339106fc,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05391,NA,Live,17.8,130,5.2
85a49393-521d-455f-a74e-2c1aaafede87,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02592,single shrub,Live,1.4,130,3
66b276d4-d573-4aed-8173-6cd676f14663,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02593,single shrub,Live,2.3,130,2.4
3a21bb5e-51e6-4243-a08d-a96410afb091,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05436,sapling,Live,NA,NA,2
17b28dd5-c3d0-481c-9ab1-30bbc6b2ba31,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02939,single shrub,Live,1,130,2.5
4f538e0e-0363-4c1e-a872-58934a7cdfd4,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05399,NA,Live,2,140,3.5
877f8baa-0928-4b13-9077-fb11b717c5f8,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02593,NA,Live,2.3,130,2.4
5ceada58-fc53-4f34-87f2-a9e32a37bdfb,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02939,NA,Live,1,130,2.5
d39cded8-b298-46f8-b881-80d972bda666,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02970,multi-bole tree,Live,13.2,180,4.7
4fa374ce-bd13-4a6c-977c-b86ad55eab15,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05391,single bole tree,Live,17.8,130,5.2
af65e4ae-0324-4f82-ad82-4ca3d13a9a53,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05399,single shrub,Live,2,140,3.5
99a1ef50-e5c4-440d-8eeb-60e88ba070ef,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02679F,multi-bole tree,Live,8.1,130,7.8
7bf68a50-99b8-4ab0-9fda-0747272fc2f2,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05436,NA,Live,NA,NA,2
54cc9125-3d14-4da4-9792-e136eb0625a1,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02592,NA,Live,1.4,130,3
44fe8c01-8e3b-44f8-9ccf-c7637f4e6e52,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02679F,NA,Live,8.1,130,7.8
99690cf9-67d1-4c10-b0d1-98016d55b3bf,GUAN_050.basePlot.vst,2016-09-01,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02970,NA,Live,13.2,180,4.7
3c26e849-a38e-4801-9da7-6c01d1eaddf6,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02945,NA,Live,3.5,130,2.8
f57970cb-36c1-4a56-b90b-8d36c0967fa3,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02957,NA,Live,1.9,130,3.4
8574d700-3ca9-48c9-9d43-bb66dd220489,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02947,NA,No longer qualifies,NA,NA,NA
61662ea5-4790-4248-8dc8-7d6b95aeeab5,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05421,single shrub,Live,2.6,130,3.2
451daac5-e9c0-494c-beb1-e6ded6c923d5,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05421,single shrub,Standing dead,1.8,130,3.2
0eb0deb0-7af8-4f46-99c0-6664a9e35662,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.02595,single shrub,Live,1.2,130,2.4
30a9eb02-0ed9-46a8-81c3-2503b1b51e18,GUAN_050.basePlot.vst,2016-09-02,vst_GUAN_2016,GUAN_050,NEON.PLA.D04.GUAN.05414,single shrub,Live,1.8,130,3.2
