uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,recordedBy,measuredBy
f5e8e6dd-accc-4392-a4c8-4951e660ad1a,GUAN_047.basePlot.vst,2017-03-03,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
806782cc-2f69-491e-9827-fc6c076786a4,GUAN_047.basePlot.vst,2017-03-03,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01231A,multi-bole tree,14.2,130,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
ef3550b8-c8b2-4bed-ba57-ed22b1b9ea76,GUAN_047.basePlot.vst,2017-03-03,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
947b5609-0914-48b5-8306-6f89708894d1,GUAN_047.basePlot.vst,2017-03-03,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01231,multi-bole tree,18.0,130,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
35cd6618-ea8e-4689-9f6a-4a95115eb6f9,GUAN_047.basePlot.vst,2017-03-03,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01246,single bole tree,11.8,130,8.0,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
90b7da86-0211-4963-8351-345577d0b462,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
b0720b07-bb9f-47fe-8bce-c9728a3d268a,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.09472,single bole tree,21.3,130,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
f9ef2881-4dcc-48dc-b687-d1b7f034643c,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
7e9ff3a8-81da-43d9-be9a-1548b7ded231,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01241B,multi-bole tree,12.0,130,5.8,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
f6d84eec-9371-4a6c-a3ce-491260e4f0ab,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01241A,multi-bole tree,13.4,150,5.8,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
039e39d9-7f39-42aa-9941-ce57bf5fc49b,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01467,multi-bole tree,15.5,130,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
205de971-b7b3-429c-957b-045dbab5bbf5,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01230A,multi-bole tree,8.8,170,5.0,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
bb52dcfe-dd05-4251-9330-dbb1daa4d98e,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01229,multi-bole tree,13.8,130,5.0,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
5f8fe5fe-fa18-4467-8ae5-c4f64ab15f37,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01240,single bole tree,10.2,130,3.9,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
613bc877-c791-4592-a48e-eb5c718f95a6,GUAN_047.basePlot.vst,2017-03-14,vst_GUAN_2017,D04,GUAN,GUAN_047,NEON.PLA.D04.GUAN.01227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2cb3ffa52fa206c04af8395dde7221e0,034344d59e564f8e301b815da0fa9345
